Mean endogenous RPM,Mean Reporter RPM*Mean Reporter Edit fraction
8.625084,0
116.8022,0
503.0737,0
408.6136,33.60087
600.4324,144.243
22.01977,0
17.42982,0
505.6828,0
48.17392,3.793345
803.3486,21.49755
12.37623,0
155.5014,4.415704
4.928076,0
345.4711,17.4548
353.3481,15.06826
488.8498,16.65963
10.86619,0
517.5492,0
7.22723,0
42.41909,0
419.8234,0
26.19634,0
154.4429,0
324.2675,16.09606
372.4746,0
364.0366,0
6.951295,0
396.7891,39.71146
768.9779,0
288.4648,152.8334
427.6598,26.00823
80.17127,0
176.9859,0
426.952,2.928813
40.42053,0
67.80008,0
278.3044,20.03587
366.1994,4.392867
38.46079,0
5.786016,0
351.611,5.713099
267.1963,2.106908
33.18128,0
0,0
0,0
298.9476,1.980321
367.5142,0
469.2797,24.33579
146.3327,60.58726
277.9653,0
0,0
809.9396,32.99745
303.9518,12.97019
988.8214,0
275.009,6.753484
1138.057,21.77382
876.6878,20.77662
987.3595,66.50446
651.8018,33.8907
372.2692,66.35577
25.20605,0
890.3011,12.95559
912.4869,41.71928
319.3193,32.60971
604.0674,11.69025
697.376,4.257938
882.4084,8.681111
1117.555,21.38783
0,0.965787
22.87803,0
0,0.497591
22.81688,3.295864
0.175261,0
0,0
0,0
28.35977,0
12.50637,0
0,0
0,4.273635
0.175261,0
6.943219,0
0,0
4.783133,0
0,0
0,0
19.37558,16.88928
229.6758,54.58938
789.8968,631.4072
65.54506,3.342816
0,0
112.5316,65.46723
75.14624,33.9661
132.7927,0.932297
393.4691,3.902078
625.9655,256.4132
46.91112,0
45.2101,0
78.46426,31.24711
109.5376,16.12209
81.80419,96.30163
42.83004,4.988076
48.18817,12.06849
277.2986,0
704.2492,34.33164
5.103337,8.756924
164.538,44.09862
19.62925,0
0,0
0,0
15.00788,0
5.07302,0
0,0
0,0
0,0
0,0
4.638189,0
0,0
0,0
14.54667,0
27.52958,0
23.40132,0
13.37213,0
23.88455,0
0,0
17.53815,0
106.6133,0
11.30559,0
14.57643,0
58.96048,1.938792
47.3662,2.607844
66.15004,1.50546
24.09518,6.109884
10.56573,0
6.943219,1.590562
33.39144,3.648551
6.522454,0.280915
38.86829,0
