Mean endogenous RPM,Mean Reporter RPM
127.0171,417.2565
21.82847,290.8062
12.50517,389.6464
3260.424,531.3904
3033.669,597.2924
46.76297,409.7246
64.3357,507.8667
2048.775,445.8661
90.80094,659.8106
427.5684,564.2366
431.9034,588.9196
0,190.5244
13.3306,156.4571
321.1913,348.8156
483.5716,458.7326
2057.136,410.2475
277.8561,433.3269
79.30731,43.13486
0,642.3947
184.5584,549.6668
66.63505,165.5323
460.531,214.8466
0,86.52625
28.4835,87.50078
176.285,71.99175
4690.227,921.3687
916.7815,549.3639
540.0411,406.2015
95.04227,41.60787
560.5658,624.3189
447.3888,151.8959
283.9238,342.5642
232.1835,412.8974
70.75037,495.9952
530.9956,337.6865
123.6723,185.8878
456.5679,125.1711
262.6706,416.9952
810.3189,537.4779
157.5511,537.0299
433.2011,670.3619
5.94268,274.3591
211.504,422.5876
134.5148,378.3434
456.3818,624.5229
385.7966,543.309
368.6862,95.04498
322.2253,312.1556
278.9933,63.38835
191.5295,95.01887
150.4348,501.8146
47.02631,102.4745
10.0011,724.7325
0.4021,165.9501
205.5452,317.8032
14.54667,273.5716
9.385562,441.7062
152.094,130.1891
163.131,112.3835
0.128578,84.21215
4.638189,283.0729
5.972998,149.9367
49.76982,169.828
24.46015,1010.191
0.344205,191.8998
6.428907,203.2475
41.22297,74.16917
5.795324,613.1358
7.501733,414.0962
0.489149,207.7963
123.5593,358.1459
12.97817,316.6711
23.94125,409.9989
78.03441,402.8785
0.128578,89.9582
397.2027,578.7109
55.31079,222.4041
96.92361,440.3493
0,430.6439
12.93763,526.8415
101.2,791.4722
1.72618,74.34033
8.261775,780.1754
53.1112,351.2337
43.39308,356.5071
0.273522,357.4288
100.2052,370.6086
121.2045,516.2462
36.38297,320.1707
67.23728,383.681
93.46888,441.4551
280.9842,285.8692
99.78597,948.183
165.5143,573.3328
60.10932,444.0218
54.48253,461.9801
77.11239,929.8744
133.7254,663.6393
388.6477,594.8834
242.8389,363.8803
75.14182,617.0194
659.2742,694.2353
95.20558,246.7555
72.12324,575.656
135.8995,449.683
93.67241,474.1216
61.25858,270.2174
214.2275,679.3732
169.8511,1140.161
124.1776,776.7972
81.43073,264.6085
84.62388,420.2625
263.0606,995.5975
106.6395,585.6395
69.27448,305.7111
156.549,553.5462
245.6995,640.2084
243.4083,291.656
225.8638,672.0539
83.82124,343.8252
173.4183,441.0362
254.0615,947.7074
91.7867,549.7689
240.564,976.222
72.80101,435.3359
145.8482,668.4711
399.6007,885.4334
348.57,297.3987
334.4647,338.6844
187.9601,369.6217
62.89654,517.2996
56.10233,347.4424
276.2741,583.2615
318.3146,658.2648
4.762545,169.8814
57.86271,623.3822
21.06346,405.5213
17.34682,592.2338
152.3613,823.7639
5.578534,414.8477
0,621.7469
302.8499,894.1923
