Control,Stop,Synonymous,Missense
,0.593782,1.91514,-1.46079
,0.59562,1.918672,-1.46061
,0.595875,1.920777,-1.45979
,0.610025,1.936829,-1.45896
,0.610922,1.941499,-1.4538
,0.613233,1.946537,-1.4505
,0.615755,1.951497,-1.44736
,0.647993,1.95489,-1.44571
,0.649742,1.955964,-1.44343
,0.651923,1.966255,-1.44099
,0.653381,1.982296,-1.44075
,0.663518,1.985322,-1.43498
,0.665591,1.991527,-1.42729
,0.669215,1.999078,-1.42623
,0.676359,2.013449,-1.42615
,0.713979,2.02221,-1.42107
,0.717209,2.02295,-1.41995
,0.773319,2.05164,-1.41944
,0.797314,2.063854,-1.4122
,0.809869,2.090033,-1.40871
,0.814763,2.090176,-1.40741
,0.81534,2.100393,-1.40726
,0.824504,2.113071,-1.40483
,0.830177,2.113282,-1.40394
,0.88261,2.119056,-1.40193
,0.889854,2.12624,-1.40024
,0.909346,2.129614,-1.39996
,0.910318,2.138906,-1.39467
,0.91921,2.146018,-1.39273
,0.949893,2.148889,-1.38809
,0.965008,2.182907,-1.38409
,0.987186,2.18611,-1.38341
,0.999573,2.25098,-1.37704
,1.012878,2.266649,-1.3765
,1.014604,2.27043,-1.37508
,1.042891,2.277441,-1.37403
,1.054984,2.285961,-1.37388
,1.091007,2.298052,-1.37231
,1.122575,2.326309,-1.37206
,1.123008,2.346379,-1.36918
,1.124723,2.361635,-1.36766
,1.204952,2.370375,-1.36704
,1.209358,2.39991,-1.36641
,1.209665,2.410187,-1.34926
,1.250561,2.410442,-1.34575
,1.260853,2.429399,-1.34239
,1.274992,2.430092,-1.33754
,1.278726,2.434992,-1.33669
,1.329551,2.446796,-1.33427
,1.339254,2.467522,-1.33065
,1.371212,2.475388,-1.33001
,1.409548,2.476105,-1.32798
,1.415013,2.482431,-1.32743
,1.421302,2.487374,-1.32731
,1.435273,2.493693,-1.32564
,1.436187,2.540333,-1.32479
,1.43707,2.555686,-1.32366
,1.441273,2.555914,-1.31702
,1.452496,2.740951,-1.31331
,1.463518,2.803742,-1.31166
,1.47209,2.895691,-1.30866
,1.477359,2.93363,-1.30572
,1.504145,2.994993,-1.29978
,1.51706,3.038958,-1.2997
,1.582546,3.039821,-1.29845
,1.598725,3.069017,-1.29339
,1.67457,3.111777,-1.28776
,1.698604,3.115365,-1.28617
,1.713867,3.555656,-1.28315
,1.72145,4.41557,-1.28136
,1.736738,,-1.27838
,1.838316,,-1.27618
,1.842531,,-1.27617
,1.85203,,-1.27522
,1.885148,,-1.27451
,1.936627,,-1.27212
,1.937195,,-1.26934
,1.94698,,-1.26792
,2.261294,,-1.2678
,2.272655,,-1.26715
,2.364618,,-1.26428
,2.618553,,-1.26422
,2.680635,,-1.26362
,2.772496,,-1.25976
,2.923291,,-1.25454
,2.96776,,-1.2537
,3.211676,,-1.25307
,3.465715,,-1.25051
,,,-1.25012
,,,-1.24944
,,,-1.2488
,,,-1.2483
,,,-1.24352
,,,-1.24011
,,,-1.23528
,,,-1.23501
,,,-1.23444
,,,-1.23009
,,,-1.229
,,,-1.228
,,,-1.2266
,,,-1.22622
,,,-1.22566
,,,-1.2209
,,,-1.22044
,,,-1.21988
,,,-1.21794
,,,-1.21784
,,,-1.21664
,,,-1.21373
,,,-1.21346
,,,-1.21249
,,,-1.21097
,,,-1.20419
,,,-1.20246
,,,-1.2007
,,,-1.20017
,,,-1.19743
,,,-1.19307
,,,-1.19184
,,,-1.19023
,,,-1.18976
,,,-1.1897
,,,-1.18839
,,,-1.18369
,,,-1.17928
,,,-1.17915
,,,-1.17658
,,,-1.16967
,,,-1.16658
,,,-1.16623
,,,-1.16597
,,,-1.16564
,,,-1.16439
,,,-1.16365
,,,-1.16222
,,,-1.16115
,,,-1.16046
,,,-1.15846
,,,-1.15649
,,,-1.15559
,,,-1.15535
,,,-1.15505
,,,-1.15292
,,,-1.15287
,,,-1.15006
,,,-1.14869
,,,-1.14388
,,,-1.1436
,,,-1.14107
,,,-1.13929
,,,-1.13893
,,,-1.13881
,,,-1.13517
,,,-1.1337
,,,-1.12839
,,,-1.12817
,,,-1.12693
,,,-1.12338
,,,-1.12086
,,,-1.11998
,,,-1.11502
,,,-1.1148
,,,-1.11263
,,,-1.10623
,,,-1.10451
,,,-1.10393
,,,-1.10389
,,,-1.10008
,,,-1.09889
,,,-1.09809
,,,-1.09751
,,,-1.09707
,,,-1.0911
,,,-1.09073
,,,-1.08967
,,,-1.08856
,,,-1.08804
,,,-1.08693
,,,-1.08667
,,,-1.08478
,,,-1.08456
,,,-1.08139
,,,-1.07932
,,,-1.07683
,,,-1.07618
,,,-1.07603
,,,-1.07361
,,,-1.07144
,,,-1.068
,,,-1.06401
,,,-1.06329
,,,-1.063
,,,-1.06293
,,,-1.06001
,,,-1.0591
,,,-1.05512
,,,-1.05435
,,,-1.05293
,,,-1.05283
,,,-1.04998
,,,-1.04885
,,,-1.04823
,,,-1.04718
,,,-1.04646
,,,-1.04539
,,,-1.04268
,,,-1.04206
,,,-1.04169
,,,-1.04111
,,,-1.04044
,,,-1.03976
,,,-1.03907
,,,-1.03666
,,,-1.03545
,,,-1.03132
,,,-1.03089
,,,-1.03031
,,,-1.02997
,,,-1.02732
,,,-1.02644
,,,-1.0242
,,,-1.02382
,,,-1.02358
,,,-1.01964
,,,-1.01736
,,,-1.01728
,,,-1.01684
,,,-1.01684
,,,-1.01646
,,,-1.01584
,,,-1.01481
,,,-1.0148
